iter	Passed	Remaining
510	1841	1762
511	1844	1758
512	1848	1754
513	1851	1750
514	1855	1747
515	1858	1743
516	1862	1739
517	1865	1735
518	1868	1732
519	1872	1728
520	1875	1724
521	1878	1720
522	1882	1716
523	1886	1713
524	1889	1709
525	1891	1704
526	1894	1700
527	1898	1696
528	1901	1693
529	1904	1688
530	1907	1684
531	1910	1680
532	1913	1676
533	1916	1672
534	1920	1668
535	1922	1664
536	1925	1660
537	1928	1656
538	1932	1652
539	1935	1649
540	1938	1644
541	1942	1641
542	1945	1637
543	1949	1634
544	1951	1629
545	1955	1625
546	1959	1622
547	1962	1618
548	1965	1614
549	1968	1610
550	1972	1607
551	1976	1603
552	1979	1599
553	1982	1595
554	1985	1591
555	1989	1588
556	1992	1584
557	1995	1580
558	1998	1576
559	2002	1573
560	2006	1570
561	2009	1566
562	2012	1562
563	2016	1558
564	2019	1555
565	2023	1551
566	2026	1547
567	2029	1543
568	2033	1540
569	2036	1536
570	2039	1532
571	2042	1528
572	2045	1524
573	2049	1520
574	2052	1517
575	2056	1513
576	2059	1509
577	2063	1506
578	2066	1502
579	2069	1498
580	2072	1494
581	2076	1491
582	2079	1487
583	2083	1483
584	2086	1479
585	2089	1476
586	2092	1472
587	2096	1468
588	2099	1465
589	2102	1461
590	2105	1457
591	2110	1454
592	2114	1450
593	2117	1447
594	2119	1442
595	2123	1439
596	2126	1435
597	2129	1431
598	2133	1428
599	2136	1424
600	2140	1420
601	2143	1417
602	2146	1413
603	2150	1409
604	2153	1405
605	2156	1402
606	2160	1398
607	2163	1394
608	2166	1391
609	2170	1387
610	2174	1384
611	2176	1380
612	2178	1375
613	2181	1371
614	2184	1367
615	2186	1363
616	2189	1359
617	2191	1354
618	2194	1350
619	2197	1346
620	2201	1343
621	2204	1339
622	2211	1338
623	2214	1334
624	2217	1330
625	2221	1326
626	2224	1323
627	2227	1319
628	2230	1315
629	2233	1311
630	2236	1307
631	2239	1303
632	2242	1300
633	2246	1297
634	2250	1293
635	2254	1290
636	2257	1286
637	2260	1282
638	2264	1279
639	2267	1275
640	2270	1271
641	2273	1268
642	2277	1264
643	2280	1260
644	2283	1257
645	2287	1253
646	2290	1249
647	2294	1246
648	2297	1242
649	2301	1239
650	2304	1235
651	2307	1231
652	2311	1228
653	2314	1224
654	2317	1220
655	2321	1217
656	2324	1213
657	2327	1209
658	2331	1206
659	2335	1203
660	2339	1199
661	2342	1195
662	2345	1192
663	2349	1188
664	2353	1185
665	2356	1181
666	2359	1178
667	2363	1174
668	2366	1170
669	2370	1167
670	2373	1163
671	2374	1159
672	2378	1155
673	2381	1151
674	2384	1148
675	2387	1144
676	2391	1140
677	2394	1136
678	2397	1133
679	2401	1129
680	2404	1126
681	2407	1122
682	2410	1118
683	2414	1115
684	2417	1111
685	2419	1107
686	2422	1103
687	2426	1100
688	2429	1096
689	2433	1093
690	2436	1089
691	2439	1085
692	2443	1082
693	2446	1078
694	2449	1075
695	2453	1071
696	2456	1068
697	2460	1064
698	2463	1060
699	2466	1056
700	2469	1053
701	2472	1049
702	2476	1046
703	2479	1042
704	2482	1038
705	2486	1035
706	2490	1031
707	2493	1028
708	2496	1024
709	2499	1020
710	2503	1017
711	2506	1014
712	2525	1016
713	2528	1012
714	2531	1009
715	2535	1005
716	2539	1002
717	2546	1000
718	2549	996
719	2556	994
720	2563	991
721	2567	988
722	2571	985
723	2575	981
724	2578	977
725	2581	974
726	2585	970
727	2590	967
728	2593	964
729	2596	960
730	2599	956
731	2602	953
732	2606	949
733	2609	945
734	2611	941
735	2614	937
736	2619	934
737	2624	931
738	2627	928
739	2632	924
740	2635	921
741	2637	917
742	2641	913
743	2644	910
744	2648	906
745	2651	902
746	2654	898
747	2658	895
748	2661	891
749	2664	888
750	2667	884
751	2671	881
752	2674	877
753	2678	873
754	2681	870
755	2683	866
756	2688	863
757	2691	859
758	2694	855
759	2697	851
760	2700	848
761	2704	844
762	2707	841
763	2710	837
764	2713	833
765	2717	830
766	2720	826
767	2723	822
768	2726	819
769	2730	815
770	2734	812
771	2737	808
772	2740	804
773	2743	801
774	2747	797
775	2749	793
776	2752	790
777	2755	786
778	2758	782
779	2762	779
780	2765	775
781	2768	771
782	2771	768
783	2774	764
784	2778	760
785	2781	757
786	2784	753
787	2787	749
788	2790	746
789	2794	742
790	2796	738
791	2799	735
792	2802	731
793	2806	728
794	2809	724
795	2812	720
796	2815	717
797	2818	713
798	2821	709
799	2824	706
800	2828	702
801	2831	698
802	2834	695
803	2838	691
804	2841	688
805	2844	684
806	2847	680
807	2850	677
808	2854	673
809	2858	670
810	2861	666
811	2864	663
812	2867	659
813	2871	656
814	2874	652
815	2878	648
816	2882	645
817	2886	642
818	2889	638
819	2892	635
820	2895	631
821	2899	627
822	2903	624
823	2906	620
824	2909	617
825	2912	613
826	2916	610
827	2919	606
828	2922	602
829	2927	599
830	2931	596
831	2934	592
832	2938	589
833	2941	585
834	2946	582
835	2949	578
836	2953	575
837	2956	571
838	2959	567
839	2963	564
840	2966	560
841	2969	557
842	2973	553
843	2976	550
844	2979	546
845	2983	543
846	2986	539
847	2990	536
848	2994	532
849	2997	528
850	3000	525
851	3004	521
852	3007	518
853	3011	514
854	3015	511
855	3019	507
856	3023	504
857	3026	500
858	3029	497
859	3032	493
860	3036	490
861	3039	486
862	3043	483
863	3046	479
864	3050	476
865	3053	472
866	3056	468
867	3060	465
868	3063	461
869	3067	458
870	3070	454
871	3073	451
872	3077	447
873	3080	444
874	3083	440
875	3087	436
876	3090	433
877	3093	429
878	3097	426
879	3100	422
880	3103	419
881	3106	415
882	3110	412
883	3114	408
884	3117	405
885	3120	401
886	3123	397
887	3128	394
888	3131	390
889	3134	387
890	3137	383
891	3140	380
892	3144	376
893	3147	373
894	3150	369
895	3154	366
896	3157	362
897	3161	359
898	3164	355
899	3167	351
900	3171	348
901	3174	344
902	3177	341
903	3181	337
904	3184	334
905	3188	330
906	3191	327
907	3195	323
908	3198	320
909	3202	316
910	3205	313
911	3209	309
912	3212	306
913	3216	302
914	3220	299
915	3224	295
916	3230	292
917	3234	288
918	3237	285
919	3241	281
920	3245	278
921	3248	274
922	3251	271
923	3254	267
924	3257	264
925	3261	260
926	3265	257
927	3268	253
928	3271	250
929	3274	246
930	3278	242
931	3280	239
932	3283	235
933	3287	232
934	3290	228
935	3293	225
936	3296	221
937	3299	218
938	3303	214
939	3306	211
940	3310	207
941	3313	204
942	3316	200
943	3320	196
944	3324	193
945	3327	189
946	3331	186
947	3334	182
948	3337	179
949	3341	175
950	3344	172
951	3347	168
952	3351	165
953	3355	161
954	3358	158
955	3361	154
956	3364	151
957	3368	147
958	3371	144
959	3374	140
960	3377	137
961	3381	133
962	3384	130
963	3387	126
964	3391	122
965	3394	119
966	3398	115
967	3401	112
968	3405	108
969	3408	105
970	3412	101
971	3415	98
972	3418	94
973	3422	91
974	3425	87
975	3429	84
976	3432	80
977	3435	77
978	3438	73
979	3442	70
980	3445	66
981	3449	63
982	3452	59
983	3456	56
984	3459	52
985	3462	49
986	3466	45
987	3469	42
988	3473	38
989	3476	35
990	3479	31
991	3483	28
992	3487	24
993	3490	21
994	3494	17
995	3497	14
996	3501	10
997	3504	7
998	3508	3
999	3511	0
