iter	Logloss
0	0.6875692646
1	0.6813464647
2	0.6756772245
3	0.6701408986
4	0.664703412
5	0.6606940795
6	0.6560428919
7	0.6510841284
8	0.646118507
9	0.6409367765
10	0.6356776377
11	0.6309149239
12	0.6282880119
13	0.6234546619
14	0.6197329746
15	0.6152628781
16	0.6111739512
17	0.60617074
18	0.6020379656
19	0.5979991441
20	0.5941337414
21	0.5904932772
22	0.5867984643
23	0.5824545528
24	0.5787439668
25	0.5764792796
26	0.5728669756
27	0.5695511464
28	0.5665507799
29	0.5634031403
30	0.5600729096
31	0.5565270413
32	0.5538635254
33	0.5508805179
34	0.5482951818
35	0.5453477924
36	0.5427419255
37	0.5398628578
38	0.5371541227
39	0.5346011901
40	0.5323719496
41	0.5306583362
42	0.5282658781
43	0.5255051516
44	0.5234154262
45	0.5207065197
46	0.5183760397
47	0.515937248
48	0.5139241165
49	0.5116224825
50	0.5092289528
51	0.5074875221
52	0.5053960822
53	0.5033095285
54	0.5009157845
55	0.4997922919
56	0.4977567008
57	0.4959030151
58	0.4936949483
59	0.4917408375
60	0.4908502986
61	0.4898403039
62	0.4885078173
63	0.4862329719
64	0.4850885627
65	0.4837816217
66	0.4824835959
67	0.4809095833
68	0.4790510542
69	0.4780436312
70	0.4764687185
71	0.4747736213
72	0.4732682732
73	0.4722449913
74	0.4711238561
75	0.469929813
76	0.4687790174
77	0.4673978398
78	0.4662393291
79	0.4646651022
80	0.4637326016
81	0.4618315107
82	0.4605846619
83	0.4594228509
84	0.4582153492
85	0.4572586745
86	0.456122752
87	0.4549731137
88	0.453874138
89	0.4530217889
90	0.4523127267
91	0.4512464116
92	0.4501179041
93	0.4485217748
94	0.4470684609
95	0.4463142652
96	0.4458258982
97	0.4449286729
98	0.4438180816
99	0.4426316679
100	0.4416308028
101	0.4406154504
102	0.4393011372
103	0.4382252211
104	0.4373048075
105	0.4364677601
106	0.4355126713
107	0.4350044165
108	0.4340769736
109	0.4335387584
110	0.4329098905
111	0.4319837763
112	0.4309030597
113	0.4300908721
114	0.4292924002
115	0.4285509774
116	0.4274675605
117	0.4266005098
118	0.4258790606
119	0.4254120387
120	0.4250267115
121	0.4243261787
122	0.4231443512
123	0.4222480688
124	0.4216384888
125	0.4207261761
126	0.4199061019
127	0.4187360614
128	0.4177292384
129	0.4171491473
130	0.4165147931
131	0.4157532253
132	0.4153300082
133	0.4147813776
134	0.4140040365
135	0.4128646851
136	0.4122772217
137	0.4114132999
138	0.4105217751
139	0.4099787166
140	0.4090739047
141	0.4085354323
142	0.40802422
143	0.4075294237
144	0.406922244
145	0.4061899935
146	0.4058515142
147	0.4052798668
148	0.4047206922
149	0.4040373041
150	0.4032334746
151	0.4027178475
152	0.4022881154
153	0.4013463567
154	0.4009613723
155	0.4003507636
156	0.3996118267
157	0.3992750189
158	0.3983700356
159	0.397980765
160	0.397428234
161	0.3968879614
162	0.3962700662
163	0.3957035193
164	0.3951858349
165	0.394576512
166	0.3937807405
167	0.3932520834
168	0.3929580517
169	0.392159837
170	0.3916578829
171	0.3912753845
172	0.3908870568
173	0.3902414729
174	0.3896560669
175	0.3892564238
176	0.3886331708
177	0.3884553374
178	0.3882585161
179	0.3880132611
180	0.3874202257
181	0.3869259009
182	0.3865314869
183	0.3862386982
184	0.3855293788
185	0.3850831021
186	0.3846059649
187	0.3844644354
188	0.384238511
189	0.3837133686
190	0.3830938446
191	0.382724762
192	0.3824943371
193	0.3821247401
194	0.3815664656
195	0.3813248967
196	0.3812832779
197	0.381033008
198	0.3808248713
199	0.3805265962
200	0.3802762835
201	0.3797560274
202	0.3793779866
203	0.3791433613
204	0.3788909055
205	0.3785228515
206	0.3781601124
207	0.3778299053
208	0.377497598
209	0.3772848751
210	0.3767408735
211	0.3759771197
212	0.3758191312
213	0.3755025114
214	0.3750476623
215	0.3748195948
216	0.3744741718
217	0.3741842548
218	0.3735572729
219	0.3731759746
220	0.3728511682
221	0.3725513072
222	0.3725127745
223	0.3721061449
224	0.3718662048
225	0.3715670296
226	0.3710988934
227	0.3708505523
228	0.3702001679
229	0.3698126118
230	0.3696618241
231	0.3693219303
232	0.3692630382
233	0.3689457754
234	0.3686659309
235	0.3684573227
236	0.3678794604
237	0.3673064414
238	0.3669778202
239	0.3668090306
240	0.3664574784
241	0.3662248247
242	0.3657958641
243	0.3656875096
244	0.3654584135
245	0.3650001783
246	0.3648024998
247	0.364610822
248	0.3641535298
249	0.3636288161
250	0.3633929049
251	0.3630299086
252	0.3626896719
253	0.3624547465
254	0.3620409162
255	0.3617474845
256	0.3613751872
257	0.3610375222
258	0.3608426726
259	0.3604719183
260	0.3604098545
261	0.3602002605
262	0.3598505942
263	0.3596358139
264	0.3590880405
265	0.3588558154
266	0.3584893044
267	0.3580395559
268	0.357649171
269	0.3576109383
270	0.3572841816
271	0.3571665046
272	0.3569951432
273	0.3567867065
274	0.3565305003
275	0.3563140269
276	0.3559219703
277	0.3556190448
278	0.3553320638
279	0.3550867659
280	0.3549108612
281	0.3546421823
282	0.3544242087
283	0.3541958412
284	0.3540728065
285	0.3539460857
286	0.3537773604
287	0.3534178359
288	0.3534019556
289	0.3533132103
290	0.3531687019
291	0.3530779635
292	0.3527599292
293	0.3526566966
294	0.3525136883
295	0.3521616646
296	0.3518209565
297	0.3514665325
298	0.3512007681
299	0.3509052148
300	0.3504348498
301	0.349947983
302	0.3497463612
303	0.3494589731
304	0.3491568833
305	0.3489125498
306	0.3486409562
307	0.3483812139
308	0.3480283116
309	0.3478900395
310	0.3477191925
311	0.3475763128
312	0.3473970435
313	0.3472292182
314	0.346922478
315	0.346798286
316	0.3466841451
317	0.3462166518
318	0.3459610457
319	0.3457720039
320	0.3455531945
321	0.3453771184
322	0.3451578805
323	0.3450635846
324	0.3449205549
325	0.3447543798
326	0.3445950197
327	0.3445726888
328	0.3444181292
329	0.3441123319
330	0.3438747492
331	0.3435989551
332	0.3433984906
333	0.3431940615
334	0.3430447739
335	0.3426318437
336	0.3426102842
337	0.3424268144
338	0.3422595463
339	0.3421000577
340	0.3418443658
341	0.3414157053
342	0.3413275387
343	0.3410676892
344	0.3407603489
345	0.3406306706
346	0.3404804187
347	0.3402052033
348	0.3401058926
349	0.3398107893
350	0.3396592301
351	0.3393077422
352	0.3390050309
353	0.3387789137
354	0.338511392
355	0.3381554893
356	0.3380466204
357	0.3378279611
358	0.3376416839
359	0.3373605535
360	0.3372110517
361	0.3370572637
362	0.3368834806
363	0.3365245348
364	0.3362468334
365	0.3361461939
366	0.3359684891
367	0.33591114
368	0.3357009245
369	0.33531519
370	0.3350974951
371	0.3349102535
372	0.3347662379
373	0.3346529328
374	0.3344919012
375	0.3342456389
376	0.3342076848
377	0.3340852716
378	0.3338348517
379	0.333481435
380	0.333327947
381	0.3332456524
382	0.3330235428
383	0.3328366655
384	0.3325026866
385	0.3323148663
386	0.3322662611
387	0.3321647215
388	0.332078848
389	0.3318512734
390	0.3316499517
391	0.3315884022
392	0.3313244595
393	0.3311161513
394	0.3309364747
395	0.330915001
396	0.3307633561
397	0.3305770788
398	0.330395002
399	0.3301203438
400	0.3299162575
401	0.3297179147
402	0.3293182716
403	0.3291767635
404	0.3289651335
405	0.3287771846
406	0.3286872607
407	0.3286361694
408	0.3284273469
409	0.3282984616
410	0.3280558425
411	0.3279963718
412	0.3278037511
413	0.3275931926
414	0.3273389581
415	0.3272363041
416	0.3268665357
417	0.3267232916
418	0.3267040896
419	0.3266195019
420	0.3265190982
421	0.32629776
422	0.3259544373
423	0.3258027923
424	0.3255885478
425	0.3253503435
426	0.3249618016
427	0.3246489536
428	0.3244697699
429	0.3242073059
430	0.3237811528
431	0.3236965008
432	0.3234332653
433	0.3234262359
434	0.3232615824
435	0.3231559068
436	0.3229440839
437	0.3227982896
438	0.3227244602
439	0.3225317966
440	0.3224291426
441	0.3222653035
442	0.3222259564
443	0.3220476729
444	0.321947655
445	0.3218386789
446	0.3216160121
447	0.3212609666
448	0.3210897124
449	0.3208751893
450	0.3206041958
451	0.3204072031
452	0.3202288124
453	0.32007436
454	0.3199369881
455	0.3197386238
456	0.3194566791
457	0.3194419132
458	0.3194077095
459	0.3191567753
460	0.3190169602
461	0.3189706267
462	0.318764633
463	0.3186105878
